City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
275,Saint George,US,83.95,37.1041,-113.5841,clear sky,Best Western Plus Abbey Inn
278,Bengkulu,ID,82.69,-3.8004,102.2655,broken clouds,Grage Hotel Bengkulu
282,Salinopolis,BR,79.09,-0.6136,-47.3561,scattered clouds,Salinas Park Resort Maçarico AP101
286,Alofi,NU,74.93,-19.0595,-169.9187,few clouds,Taloa Heights
296,Half Moon Bay,US,73.89,37.4636,-122.4286,fog,"The Ritz-Carlton, Half Moon Bay"
302,Pemangkat,ID,86.04,1.1667,108.9667,broken clouds,Hotel Duyung Permai 2
305,Sri Aman,MY,85.62,1.2376,111.4621,broken clouds,Seri Simanggang Hotel
307,Bhuj,IN,79.68,23.2667,69.6667,clear sky,Regenta Resort Bhuj
309,Feijo,BR,71.76,-8.1642,-70.3536,overcast clouds,Hotel e Restaurante Aҫai
313,Kapoeta,SS,73.47,4.7717,33.5903,clear sky,Eastgate Hotel
316,Oistins,BB,81.43,13.0667,-59.5333,overcast clouds,Butterfly Beach Hotel
322,Bam,IR,77.86,29.106,58.357,clear sky,Bam Tourist Hotel
324,Sabha,LY,81.91,27.0377,14.4283,clear sky,محطة ام الارانب -سبها مواصلات
329,Yenagoa,NG,74.52,4.9247,6.2642,overcast clouds,Aridolf Resort Wellness and Spa
330,Daniel Flores,CR,70.27,9.3355,-83.6694,overcast clouds,Hotel San Isidro
334,Sola,VU,81.01,-13.8833,167.55,clear sky,Leumerus Bungalows
335,Tabou,CI,74.91,4.423,-7.3528,overcast clouds,hotêl doufoulougou
337,Barreirinhas,BR,77.59,-2.7469,-42.8264,broken clouds,Gran Lençóis Flat Residence
339,Pindi Gheb,PK,83.3,33.2402,72.2661,clear sky,Mohallah Masjid Ghulam shah
342,Shache,CN,72.46,38.4167,77.2406,broken clouds,Delong Hotel
345,Iralaya,HN,79.88,15.0,-83.2333,overcast clouds,Iglesia morava renovada
346,Geraldton,AU,77.41,-28.7667,114.6,clear sky,Broadwater Mariner Resort
350,Bilma,NE,87.33,18.6853,12.9164,clear sky,Expeditions Ténére voyages
352,Padang,ID,84.25,-0.9492,100.3543,overcast clouds,Mercure Padang
353,Kalagarh,IN,77.72,29.5,78.75,clear sky,Rakesh Lainthola
354,Asmar,AF,73.4,35.0333,71.3581,clear sky,COP Monti
355,Hambantota,LK,80.94,6.1241,81.1185,scattered clouds,Bungalow 63
357,Seoul,KR,72.84,37.5683,126.9778,scattered clouds,LOTTE HOTEL SEOUL
363,Banda Aceh,ID,82.4,5.5577,95.3222,overcast clouds,OYO 884 Rumoh PMI Hotel
364,Ponta Do Sol,PT,71.01,32.6667,-17.1,broken clouds,Hotel do Campo
367,Sinjar,IQ,75.79,36.3209,41.8754,clear sky,زوماني فون 1
370,Fukue,JP,74.7,32.6881,128.8419,scattered clouds,Goto Guesthouse Utojuku & SA Car Rental
373,Perbaungan,ID,78.91,3.5679,98.956,overcast clouds,Hotel Bidadari
380,Zhoucun,CN,74.89,36.8167,117.8167,overcast clouds,Zibo Changxin Hotel
381,Tura,IN,84.97,25.5198,90.2201,few clouds,Hotel RIKMAN Continental
382,Sao Filipe,CV,79.18,14.8961,-24.4956,few clouds,Hotel Xaguate
384,Inirida,CO,73.85,3.8653,-67.9239,overcast clouds,Fuente del Guania Hotel de Lujo
386,Awjilah,LY,86.05,29.1081,21.2869,clear sky,المنزل
387,Tautira,PF,77.54,-17.7333,-149.15,clear sky,Pension Oaoa
389,Vao,NC,71.38,-22.6667,167.4833,overcast clouds,Hotel Kou-Bugny
397,Eyl,SO,76.12,7.9803,49.8164,broken clouds,EYL AQUE SYSTEM
403,Corrales,US,71.69,35.2378,-106.6067,clear sky,Quality Inn
405,Porto Novo,BJ,74.91,6.4965,2.6036,light rain,Tour Eiffel Hotel Benin
406,Birnin Kebbi,NG,74.61,12.4539,4.1975,overcast clouds,Saffar Guest Inn Ltd
411,Sakakah,SA,74.08,29.9697,40.2064,clear sky,Fakhamat Al Orjoana Apartment
412,Ixtapa,MX,83.43,20.7,-105.2,overcast clouds,hotel la terminal
