City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Pillaro,EC,-1.1667,-78.5333,51.96,92,95,7.0,overcast clouds
278,Bengkulu,ID,-3.8004,102.2655,82.69,75,69,6.35,broken clouds
279,Taltal,CL,-25.4,-70.4833,57.4,81,35,2.8,scattered clouds
280,Santa Rita Do Passa Quatro,BR,-21.7103,-47.4781,62.38,96,91,2.93,overcast clouds
281,Uige,AO,-7.6087,15.0613,67.91,95,98,1.86,overcast clouds
282,Salinopolis,BR,-0.6136,-47.3561,79.09,76,39,11.32,scattered clouds
283,Logrono,ES,42.4667,-2.45,46.44,100,0,2.3,clear sky
284,Yakeshi,CN,49.2833,120.7333,50.95,56,72,10.2,broken clouds
285,Wagrowiec,PL,52.8084,17.1996,46.33,74,76,8.77,broken clouds
286,Alofi,NU,-19.0595,-169.9187,74.93,72,19,21.18,few clouds
287,Ballina,AU,-28.8667,153.5667,61.02,99,100,13.56,light rain
288,Hannibal,US,39.7084,-91.3585,59.61,59,3,4.59,clear sky
289,Kruisfontein,ZA,-34.0033,24.7314,53.89,84,15,11.88,few clouds
290,Avera,US,33.194,-82.5271,64.45,89,98,8.43,overcast clouds
291,Predivinsk,RU,57.0669,93.4378,34.52,87,100,6.64,light snow
292,Talnakh,RU,69.4865,88.3972,29.21,92,100,6.2,light snow
293,Teguldet,RU,57.3064,88.1667,33.62,69,98,5.26,overcast clouds
294,Constitucion,CL,-35.3333,-72.4167,56.05,80,100,6.8,overcast clouds
295,Camacha,PT,33.0833,-16.3333,67.42,68,20,16.11,few clouds
296,Half Moon Bay,US,37.4636,-122.4286,73.89,86,100,13.8,fog
297,Maniitsoq,GL,65.4167,-52.9,35.28,81,100,9.71,overcast clouds
298,Zeerust,ZA,-25.5369,26.0751,58.6,38,0,5.66,clear sky
299,Port Lincoln,AU,-34.7333,135.8667,62.13,67,3,8.25,clear sky
300,Svetlyy,RU,54.675,20.1347,46.45,72,100,8.57,overcast clouds
301,Eureka,US,40.8021,-124.1637,67.75,88,1,1.99,clear sky
302,Pemangkat,ID,1.1667,108.9667,86.04,63,55,4.59,broken clouds
303,Saravan,AM,39.7196,45.6483,51.62,68,0,6.04,clear sky
304,Baruun-Urt,MN,46.6806,113.2792,67.41,25,100,11.5,overcast clouds
305,Sri Aman,MY,1.2376,111.4621,85.62,78,58,1.07,broken clouds
306,Sept-Iles,CA,50.2001,-66.3821,50.05,85,83,7.36,broken clouds
307,Bhuj,IN,23.2667,69.6667,79.68,74,0,12.12,clear sky
308,Zemio,CF,5.0314,25.1361,66.09,94,22,1.05,few clouds
309,Feijo,BR,-8.1642,-70.3536,71.76,79,87,2.93,overcast clouds
310,Pisco,PE,-13.7,-76.2167,61.02,82,0,6.91,clear sky
311,Murgab,TM,37.4966,61.9714,64.87,23,3,6.11,clear sky
312,Poum,NC,-20.2333,164.0167,73.65,66,14,15.03,few clouds
313,Kapoeta,SS,4.7717,33.5903,73.47,67,1,2.73,clear sky
314,Bilibino,RU,68.0546,166.4372,32.41,68,100,1.54,overcast clouds
315,Saint-Philippe,RE,-21.3585,55.7679,65.21,79,53,9.78,broken clouds
316,Oistins,BB,13.0667,-59.5333,81.43,81,100,12.33,overcast clouds
317,Rawson,AR,-43.3002,-65.1023,53.42,66,34,5.21,scattered clouds
318,Oktyabrskiy,RU,54.4815,53.471,42.58,84,100,5.3,overcast clouds
319,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,48.11,60,89,9.66,overcast clouds
320,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.95,72,97,7.36,overcast clouds
321,Amuntai,ID,-2.4177,115.2494,90.48,51,75,5.35,light rain
322,Bam,IR,29.106,58.357,77.86,10,0,9.51,clear sky
323,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,35,0,20.71,clear sky
324,Sabha,LY,27.0377,14.4283,81.91,17,0,13.0,clear sky
325,Muzhi,RU,65.3667,64.6667,27.3,72,92,7.96,overcast clouds
326,Buraydah,SA,26.326,43.975,69.53,21,0,4.99,clear sky
327,Chernyshevskiy,RU,63.0128,112.4714,27.97,70,92,3.53,overcast clouds
328,Berlevag,NO,70.8578,29.0864,42.75,70,100,13.8,overcast clouds
329,Yenagoa,NG,4.9247,6.2642,74.52,96,100,2.28,overcast clouds
330,Daniel Flores,CR,9.3355,-83.6694,70.27,95,100,1.28,overcast clouds
331,Iguape,BR,-24.7081,-47.5553,65.19,93,100,7.81,overcast clouds
332,Verkhnyaya Toyma,RU,62.2349,44.9985,47.1,98,100,6.6,overcast clouds
333,Coihaique,CL,-45.5752,-72.0662,44.55,57,20,3.44,few clouds
334,Sola,VU,-13.8833,167.55,81.01,70,6,6.42,clear sky
335,Tabou,CI,4.423,-7.3528,74.91,88,100,7.65,overcast clouds
336,Kargasok,RU,59.0556,80.8572,32.43,71,56,7.31,broken clouds
337,Barreirinhas,BR,-2.7469,-42.8264,77.59,82,64,7.87,broken clouds
338,Kaka,TM,37.3482,59.6143,67.66,24,7,5.1,clear sky
339,Pindi Gheb,PK,33.2402,72.2661,83.3,49,0,8.7,clear sky
340,Chotebor,CZ,49.7207,15.6702,46.85,95,13,5.32,few clouds
341,Xining,CN,36.6167,101.7667,60.28,50,2,2.68,clear sky
